Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,extra_0,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,extra_1
74,Facundo Buonanotte,ar ARG,MF,Chelsea,20,2004,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,Matches,,1,1,45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
75,Facundo Buonanotte,ar ARG,MF,Leeds United,20,2004,0.4,2.50,0.00,0.00,2.50,0.00,0.00,5.00,2.50,0.00,,,0.00,Matches,,3,0,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,
76,Dan Burn,eng ENG,DF,Newcastle United,33,1992,24.4,0.45,0.04,0.04,1.48,0.53,0.12,0.57,0.82,1.07,,,0.00,Matches,,29,25,2,24.4,0.04,0.08,0.12,0.04,0.00,0.04,0.04,0.08,0.12,0.04,
77,Bradley Burrowes,eng ENG,MF,Aston Villa,17,2008,0.2,0.00,0.00,0.00,0.00,5.00,0.00,15.0,0.00,0.00,,,0.00,Matches,,1,0,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
78,Jun'ai Byfield,eng ENG,DF,Tottenham Hotspur,16,2008,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
79,Sam Byram,eng ENG,DF,MF,Leeds United,31,1993,0.1,0.00,0.00,0.00,10.0,0.00,10.0,0.00,0.00,10.0,,,0.00,Matches,1993,2,0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
80,Moisés Caicedo,ec ECU,MF,Chelsea,23,2001,31.1,0.35,0.03,0.00,1.74,1.77,0.00,0.26,1.90,1.51,,,0.00,Matches,,33,32,2,31.1,0.10,0.03,0.13,0.10,0.00,0.03,0.10,0.03,0.13,0.10,
81,Tom Cairney,sct SCO,MF,Fulham,34,1991,8.6,0.35,0.00,0.00,1.16,1.28,0.00,0.70,0.47,0.47,,,0.00,Matches,,24,6,775,0.23,0.00,0.23,0.23,0.00,0.00,0.23,0.00,0.23,0.23,0.23,
82,Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,18.9,0.26,0.00,0.00,1.38,0.53,0.21,1.11,0.69,1.01,,,0.00,Matches,,26,22,1,18.9,0.05,0.11,0.16,0.05,0.00,0.00,0.05,0.11,0.16,0.05,
83,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,30.2,0.10,0.00,0.00,1.49,1.23,0.86,0.30,0.17,0.13,,,0.00,Matches,,35,30,2,30.2,0.46,0.03,0.50,0.33,0.13,0.00,0.46,0.03,0.50,0.33,
84,Jaydee Canvot,fr FRA,DF,Crystal Palace,19,2006,14.8,0.20,0.00,0.00,0.81,0.47,0.00,0.34,0.81,1.49,,,0.00,Matches,,20,14,1,14.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
85,Rio Cardines,tt TRI,MF,Crystal Palace,19,2006,1.0,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,1.00,,,0.00,Matches,,1,1,90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
86,Fabio Carvalho,pt POR,MF,Brentford,22,2002,1.1,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,1.82,,,0.00,Matches,,6,1,102,0.91,0.00,0.91,0.91,0.00,0.00,0.88,0.00,0.88,0.88,0.88,
87,Casemiro,br BRA,MF,Manchester Utd,33,1992,28.6,0.38,0.03,0.03,1.61,1.26,0.17,0.66,1.05,1.57,,,0.00,Matches,,34,33,2,28.6,0.31,0.07,0.38,0.31,0.00,0.03,0.32,0.07,0.39,0.32,
88,Matty Cash,pl POL,DF,Aston Villa,27,1997,33.5,0.27,0.00,0.00,1.25,0.90,0.12,3.91,0.72,0.96,,,0.00,Matches,,35,34,3,33.5,0.09,0.09,0.18,0.09,0.00,0.00,0.09,0.09,0.18,0.09,
89,Timothy Castagne,be BEL,DF,MF,Fulham,29,1995,20.5,0.20,0.00,0.00,0.88,0.54,0.05,2.34,1.37,1.17,,,0.00,Matches,1995,30,20,845,20.5,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,Matches
90,Valentín Castellanos,ar ARG,FW,West Ham United,26,1998,15.4,0.39,0.00,0.00,2.08,1.04,0.58,0.58,0.39,0.58,,,0.00,Matches,,18,17,1,15.4,0.39,0.00,0.39,0.39,0.00,0.00,0.39,0.00,0.39,0.39,
91,Trevoh Chalobah,eng ENG,DF,Chelsea,26,1999,30.9,0.10,0.03,0.00,0.65,0.58,0.06,0.16,1.20,0.71,,,0.00,Matches,,34,31,2,30.9,0.10,0.00,0.10,0.10,0.00,0.03,0.10,0.00,0.10,0.10,
92,Rayan Cherki,fr FRA,MF,Manchester City,21,2003,19.8,0.05,0.00,0.00,0.91,1.72,0.05,4.04,0.35,0.81,,,0.00,Matches,,33,19,1,19.8,0.20,0.61,0.81,0.20,0.00,0.00,0.20,0.60,0.81,0.20,
93,Federico Chiesa,it ITA,MF,Liverpool,27,1997,3.8,0.79,0.00,0.00,2.89,1.84,0.53,4.47,1.05,1.32,,,0.00,Matches,,26,1,339,0.53,0.26,0.79,0.53,0.00,0.00,0.53,0.27,0.80,0.53,0.80,
